Time[s], 通道 0, 通道 1
0.0000000, 1, 1
2.1975891, 0, 1
2.1975899, 0, 0
2.1975916, 0, 1
2.1975925, 0, 0
2.1975942, 0, 1
2.1975952, 0, 0
2.1975968, 0, 1
2.1975978, 0, 0
2.1975994, 0, 1
2.1976004, 0, 0
2.1976021, 0, 1
2.1976030, 0, 0
2.1976032, 1, 0
2.1976047, 1, 1
2.1976057, 1, 0
2.1976059, 0, 0
2.1976073, 0, 1
2.1976083, 0, 0
2.1976099, 0, 1
2.1976109, 0, 0
2.1976183, 0, 1
2.1976193, 0, 0
2.1976194, 1, 0
2.1976201, 0, 0
2.1976257, 1, 0
2.1976266, 1, 1
2.1976275, 1, 0
2.1976277, 0, 0
2.1976292, 0, 1
2.1976302, 0, 0
2.1976318, 0, 1
2.1976328, 0, 0
2.1976344, 0, 1
2.1976354, 0, 0
2.1976356, 1, 0
2.1976371, 1, 1
2.1976380, 1, 0
2.1976382, 0, 0
2.1976397, 0, 1
2.1976407, 0, 0
2.1976423, 0, 1
2.1976433, 0, 0
2.1976449, 0, 1
2.1976459, 0, 0
2.1976461, 1, 0
2.1976544, 0, 0
2.1976546, 0, 1
2.1976555, 0, 0
2.1976556, 1, 0
2.1976564, 0, 0
2.1976628, 0, 1
2.1976638, 0, 0
2.1976654, 0, 1
2.1976664, 0, 0
2.1976681, 0, 1
2.1976690, 0, 0
2.1976707, 0, 1
2.1976717, 0, 0
2.1976733, 0, 1
2.1976743, 0, 0
2.1976759, 0, 1
2.1976769, 0, 0
2.1976786, 0, 1
2.1976795, 0, 0
2.1976797, 1, 0
2.1976812, 1, 1
2.1976822, 1, 0
2.1976823, 0, 0
2.1976908, 0, 1
2.1976918, 0, 0
2.1976919, 1, 0
2.1976926, 0, 0
2.1976987, 0, 1
2.1976997, 1, 1
7.2476933, 0, 1
7.2476942, 0, 0
7.2476958, 0, 1
7.2476968, 0, 0
7.2476984, 0, 1
7.2476994, 0, 0
7.2477010, 0, 1
7.2477020, 0, 0
7.2477037, 0, 1
7.2477047, 0, 0
7.2477063, 0, 1
7.2477073, 0, 0
7.2477075, 1, 0
7.2477089, 1, 1
7.2477099, 1, 0
7.2477101, 0, 0
7.2477115, 0, 1
7.2477125, 0, 0
7.2477142, 0, 1
7.2477152, 0, 0
7.2477226, 0, 1
7.2477235, 0, 0
7.2477236, 1, 0
7.2477243, 0, 0
7.2477300, 1, 0
7.2477308, 1, 1
7.2477318, 1, 0
7.2477320, 0, 0
7.2477334, 0, 1
7.2477344, 0, 0
7.2477360, 0, 1
7.2477370, 0, 0
7.2477387, 0, 1
7.2477397, 0, 0
7.2477399, 1, 0
7.2477413, 1, 1
7.2477423, 1, 0
7.2477425, 0, 0
7.2477439, 0, 1
7.2477449, 0, 0
7.2477465, 0, 1
7.2477475, 0, 0
7.2477492, 0, 1
7.2477502, 0, 0
7.2477504, 1, 0
7.2477589, 0, 0
7.2477591, 0, 1
7.2477600, 0, 0
7.2477601, 1, 0
7.2477608, 0, 0
7.2477673, 0, 1
7.2477683, 0, 0
7.2477699, 0, 1
7.2477709, 0, 0
7.2477725, 0, 1
7.2477735, 0, 0
7.2477752, 0, 1
7.2477762, 0, 0
7.2477778, 0, 1
7.2477788, 0, 0
7.2477804, 0, 1
7.2477814, 0, 0
7.2477830, 0, 1
7.2477840, 0, 0
7.2477842, 1, 0
7.2477857, 1, 1
7.2477867, 1, 0
7.2477868, 0, 0
7.2477953, 0, 1
7.2477963, 0, 0
7.2477964, 1, 0
7.2477971, 0, 0
7.2478032, 0, 1
7.2478042, 1, 1
12.2977974, 0, 1
12.2977982, 0, 0
12.2977999, 0, 1
12.2978009, 0, 0
12.2978025, 0, 1
12.2978035, 0, 0
12.2978051, 0, 1
12.2978061, 0, 0
12.2978078, 0, 1
12.2978087, 0, 0
12.2978104, 0, 1
12.2978114, 0, 0
12.2978116, 1, 0
12.2978130, 1, 1
12.2978140, 1, 0
12.2978142, 0, 0
12.2978156, 0, 1
12.2978166, 0, 0
12.2978183, 0, 1
12.2978192, 0, 0
12.2978267, 0, 1
12.2978277, 0, 0
12.2978278, 1, 0
12.2978285, 0, 0
12.2978341, 1, 0
12.2978350, 1, 1
12.2978359, 1, 0
12.2978361, 0, 0
12.2978376, 0, 1
12.2978386, 0, 0
12.2978402, 0, 1
12.2978412, 0, 0
12.2978428, 0, 1
12.2978438, 0, 0
12.2978440, 1, 0
12.2978455, 1, 1
12.2978464, 1, 0
12.2978466, 0, 0
12.2978481, 0, 1
12.2978491, 0, 0
12.2978507, 0, 1
12.2978517, 0, 0
12.2978533, 0, 1
12.2978543, 0, 0
12.2978545, 1, 0
12.2978628, 0, 0
12.2978630, 0, 1
12.2978639, 0, 0
12.2978640, 1, 0
12.2978647, 0, 0
12.2978712, 0, 1
12.2978722, 0, 0
12.2978738, 0, 1
12.2978748, 0, 0
12.2978765, 0, 1
12.2978774, 0, 0
12.2978791, 0, 1
12.2978801, 0, 0
12.2978817, 0, 1
12.2978827, 0, 0
12.2978843, 0, 1
12.2978853, 0, 0
12.2978870, 0, 1
12.2978879, 0, 0
12.2978881, 1, 0
12.2978896, 1, 1
12.2978906, 1, 0
12.2978907, 0, 0
12.2978992, 0, 1
12.2979002, 0, 0
12.2979003, 1, 0
12.2979010, 0, 0
12.2979071, 0, 1
12.2979081, 1, 1
