Time[s],Packet ID,Address,Read/Write,Data
0.7786912000,1,0x04,W,0xA7 0x01 0x00 0x00 0x00 0x25
0.7884042000,2,0x05,R,0x46 0x00 0x00
0.7886454000,3,0x04,W,0x82
0.8786870000,4,0x04,W,0xA7 0x01 0x00 0x03 0x00 0x02
0.8792416000,5,0x05,R,0x46 0x03 0x00 0x01 0x00 0x1A
0.8801054000,6,0x04,W,0x82
0.9286978000,7,0x04,W,0xA7 0x01 0x00 0x00 0x00 0x35
0.9297054000,8,0x05,R,0x46 0x00 0x00
0.9299464000,9,0x04,W,0x82
1.0286920000,10,0x04,W,0xA7 0x01 0x00 0x03 0x00 0x02
1.0306338000,11,0x05,R,0x46 0x03 0x00 0x01 0x00 0x1A
1.0314972000,12,0x04,W,0x82
1.0787246000,13,0x04,W,0xA7 0x03 0x00 0x00 0x00 0x06 0x00 0x24
1.0810956000,14,0x05,R,0x46 0x00 0x00
1.0813368000,15,0x04,W,0x82
1.1286966000,16,0x04,W,0xA7 0x01 0x00 0x30 0x00 0x09
1.1315518000,17,0x05,R,0x46 0x30 0x00 0xFF 0xFF 0xFF 0xFF 0x33 0xFA 0xFF 0xFF 0xFF 0xFF 0x25 0xB8 0x2F 0x32 0x26 0xF1 0xB4 0xEF 0xB3 0x68 0xAC 0xFD 0xFD 0x94 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xEF 0xF4 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0x00 0x00
1.1345116000,18,0x04,W,0x82
1.1787080000,19,0x04,W,0xA7 0x02 0x00 0x00 0x00 0x12 0x01
1.1820174000,20,0x05,R,0x46 0x00 0x00
1.1822586000,21,0x04,W,0x82
1.2786902000,22,0x04,W,0xA7 0x01 0x00 0x03 0x00 0x02
1.2829406000,23,0x05,R,0x46 0x03 0x00 0x01 0x00 0x1A
1.2838034000,24,0x04,W,0x82
1.3287232000,25,0x04,W,0xA7 0x03 0x00 0x00 0x00 0x37 0x05 0x01
1.3334026000,26,0x05,R,0x46 0x00 0x00
1.3336438000,27,0x04,W,0x82
1.3786968000,28,0x04,W,0xA7 0x01 0x00 0x0F 0x00 0x38
1.3838642000,29,0x05,R,0x46 0x0F 0x00 0x7F 0xFF 0xFF 0x00 0x00 0x00 0xC7 0xFF 0xFF 0xC7 0xFF 0xFF 0xC0 0x00 0x00
1.3852706000,30,0x04,W,0x82
1.4287172000,31,0x04,W,0xA7 0x03 0x00 0x00 0x00 0x37 0x07 0x01
1.4343260000,32,0x05,R,0x46 0x00 0x00
1.4345672000,33,0x04,W,0x82
1.4786944000,34,0x04,W,0xA7 0x01 0x00 0x77 0x01 0x38
