Time[s], 通道 0, 通道 1
0.0000000, 0, 0
1.7244103, 0, 1
1.7244104, 1, 1
1.8382289, 0, 1
1.8382298, 0, 0
1.8382363, 0, 1
1.8382423, 0, 0
1.8382488, 0, 1
1.8382550, 0, 0
1.8382616, 0, 1
1.8382677, 0, 0
1.8382743, 0, 1
1.8382804, 0, 0
1.8382869, 0, 1
1.8382933, 0, 0
1.8382986, 1, 0
1.8382997, 1, 1
1.8383055, 1, 0
1.8383057, 0, 0
1.8383120, 0, 1
1.8383182, 0, 0
1.8383234, 1, 0
1.8383245, 1, 1
1.8383305, 1, 0
1.8383307, 0, 0
1.8383363, 1, 0
1.8383369, 1, 1
1.8383426, 1, 0
1.8383434, 0, 0
1.8383493, 0, 1
1.8383563, 0, 0
1.8383620, 0, 1
1.8383688, 0, 0
1.8383745, 0, 1
1.8383817, 0, 0
1.8383873, 0, 1
1.8383874, 0, 0
1.8383875, 0, 1
1.8383945, 0, 0
1.8384002, 0, 1
1.8384075, 0, 0
1.8384134, 0, 1
1.8384204, 0, 0
1.8384261, 0, 1
1.8384262, 0, 0
1.8384263, 0, 1
1.8384329, 0, 0
1.8384387, 0, 1
1.8384455, 0, 0
1.8384512, 0, 1
1.8384581, 0, 0
1.8384639, 0, 1
1.8384711, 0, 0
1.8384769, 0, 1
1.8384838, 0, 0
1.8384895, 0, 1
1.8384963, 0, 0
1.8385020, 0, 1
1.8385091, 0, 0
1.8385148, 0, 1
1.8385219, 0, 0
1.8385277, 0, 1
1.8385346, 0, 0
1.8385403, 0, 1
1.8385471, 0, 0
1.8385528, 0, 1
1.8385599, 0, 0
1.8385657, 0, 1
1.8385728, 0, 0
1.8385787, 0, 1
1.8385856, 0, 0
1.8385913, 0, 1
1.8385983, 0, 0
1.8386040, 0, 1
1.8386109, 0, 0
1.8386167, 0, 1
1.8386238, 0, 0
1.8386295, 0, 1
1.8386366, 0, 0
1.8386424, 0, 1
1.8386491, 0, 0
1.8386548, 0, 1
1.8386619, 0, 0
1.8386678, 0, 1
1.8386747, 0, 0
1.8386805, 0, 1
1.8386874, 0, 0
1.8386932, 0, 1
1.8387003, 0, 0
1.8387060, 0, 1
1.8387128, 0, 0
1.8387185, 0, 1
1.8387256, 0, 0
1.8387314, 0, 1
1.8387384, 0, 0
1.8387441, 0, 1
1.8387512, 0, 0
1.8387571, 0, 1
1.8387639, 0, 0
1.8387697, 0, 1
1.8387765, 0, 0
1.8387823, 0, 1
1.8387895, 0, 0
1.8387952, 0, 1
1.8388021, 0, 0
1.8388078, 0, 1
1.8388148, 0, 0
1.8388205, 0, 1
1.8388274, 0, 0
1.8388331, 0, 1
1.8388400, 0, 0
1.8388456, 0, 1
1.8388527, 0, 0
1.8388584, 0, 1
1.8388651, 0, 0
1.8388708, 0, 1
1.8388777, 0, 0
1.8388834, 0, 1
1.8388903, 0, 0
