Time[s], 通道 0, 通道 1
0.0000000, 1, 1
0.5207261, 0, 1
0.5207269, 0, 0
0.5207286, 0, 1
0.5207296, 0, 0
0.5207312, 0, 1
0.5207322, 0, 0
0.5207338, 0, 1
0.5207348, 0, 0
0.5207365, 0, 1
0.5207374, 0, 0
0.5207391, 0, 1
0.5207401, 0, 0
0.5207403, 1, 0
0.5207417, 1, 1
0.5207427, 1, 0
0.5207429, 0, 0
0.5207443, 0, 1
0.5207453, 0, 0
0.5207470, 0, 1
0.5207479, 0, 0
0.5207553, 0, 1
0.5207563, 0, 0
0.5207564, 1, 0
0.5207571, 0, 0
0.5207628, 1, 0
0.5207636, 1, 1
0.5207646, 1, 0
0.5207648, 0, 0
0.5207662, 0, 1
0.5207672, 0, 0
0.5207688, 0, 1
0.5207698, 0, 0
0.5207715, 0, 1
0.5207724, 0, 0
0.5207727, 1, 0
0.5207741, 1, 1
0.5207751, 1, 0
0.5207753, 0, 0
0.5207767, 0, 1
0.5207777, 0, 0
0.5207793, 0, 1
0.5207803, 0, 0
0.5207820, 0, 1
0.5207829, 0, 0
0.5207832, 1, 0
0.5207914, 0, 0
0.5207916, 0, 1
0.5207926, 1, 0
0.5207934, 0, 0
0.5207998, 0, 1
0.5208008, 0, 0
0.5208025, 0, 1
0.5208034, 0, 0
0.5208051, 0, 1
0.5208061, 0, 0
0.5208077, 0, 1
0.5208087, 0, 0
0.5208103, 0, 1
0.5208113, 0, 0
0.5208130, 0, 1
0.5208139, 0, 0
0.5208156, 0, 1
0.5208166, 0, 0
0.5208168, 1, 0
0.5208182, 1, 1
0.5208192, 1, 0
0.5208193, 0, 0
0.5208278, 0, 1
0.5208288, 0, 0
0.5208289, 1, 0
0.5208296, 0, 0
0.5208358, 0, 1
0.5208368, 1, 1
5.5708296, 0, 1
5.5708304, 0, 0
5.5708321, 0, 1
5.5708330, 0, 0
5.5708347, 0, 1
5.5708357, 0, 0
5.5708373, 0, 1
5.5708383, 0, 0
5.5708399, 0, 1
5.5708409, 0, 0
5.5708426, 0, 1
5.5708435, 0, 0
5.5708438, 1, 0
