Time[s], 通道 0, 通道 1, 通道 2
0.0000000, 1, 1, 0
0.0000003, 1, 0, 0
0.0000016, 1, 1, 0
0.0000017, 1, 1, 1
0.0000030, 1, 0, 1
0.0000043, 1, 1, 0
0.0000056, 1, 0, 0
0.0000069, 0, 1, 1
0.0000082, 0, 0, 1
0.0000095, 0, 1, 0
0.0000108, 0, 0, 0
0.0000122, 0, 1, 0
0.0000135, 0, 0, 0
0.0000148, 0, 1, 0
0.0000161, 0, 0, 0
0.0000174, 0, 1, 0
0.0000187, 0, 0, 0
0.0000200, 0, 1, 0
0.0000213, 0, 0, 0
0.0000227, 0, 1, 0
0.0000240, 0, 0, 0
0.0000253, 0, 1, 0
0.0000266, 0, 0, 0
0.0000279, 0, 1, 0
0.0000292, 0, 0, 0
0.0000305, 0, 1, 0
0.0000319, 0, 0, 0
0.0000332, 0, 1, 0
0.0000345, 0, 0, 0
0.0000358, 0, 1, 1
0.0000371, 0, 0, 1
0.0000384, 0, 1, 0
0.0000397, 0, 0, 0
0.0000411, 0, 1, 0
0.0000424, 0, 0, 0
0.0000437, 0, 1, 0
0.0000450, 0, 0, 0
0.0000463, 0, 1, 1
0.0000476, 0, 0, 1
0.0000489, 0, 1, 1
0.0000490, 1, 1, 0
0.0000502, 1, 0, 0
0.0000516, 1, 1, 0
0.0000529, 1, 0, 0
0.0000542, 1, 1, 0
0.0000555, 1, 0, 0
0.0000568, 1, 1, 1
0.0000581, 1, 0, 1
0.0000594, 1, 1, 1
0.0000595, 1, 1, 0
0.0000608, 1, 0, 0
0.0000621, 1, 1, 0
0.0000634, 1, 0, 0
0.0000647, 1, 1, 0
0.0000660, 1, 0, 0
0.0000673, 1, 1, 1
0.0000686, 1, 0, 1
0.0000700, 1, 1, 1
0.0000713, 1, 0, 1
0.0000726, 1, 1, 0
0.0000739, 1, 0, 0
0.0000752, 1, 1, 0
0.0000765, 1, 0, 0
0.0000778, 1, 1, 0
0.0000791, 1, 0, 0
0.0000805, 1, 1, 0
0.0000818, 1, 0, 0
0.0000831, 1, 1, 0
0.0000844, 1, 0, 0
0.0000857, 1, 1, 0
0.0000870, 1, 0, 0
0.0000883, 1, 1, 0
0.0000897, 1, 0, 0
0.0000910, 0, 1, 0
0.0000923, 0, 0, 0
0.0000936, 0, 1, 0
0.0000949, 0, 0, 0
0.0000962, 0, 1, 0
0.0000975, 0, 0, 0
0.0000989, 0, 1, 1
0.0001002, 0, 0, 1
0.0001015, 0, 1, 0
0.0001028, 0, 0, 0
0.0001041, 0, 1, 0
0.0001054, 0, 0, 0
0.0001067, 0, 1, 0
0.0001080, 0, 0, 0
0.0001094, 0, 1, 0
0.0001107, 0, 0, 0
0.0001120, 0, 1, 0
0.0001133, 0, 0, 0
0.0001146, 0, 1, 0
0.0001159, 0, 0, 0
0.0001172, 0, 1, 0
0.0001186, 0, 0, 0
0.0001199, 0, 1, 0
0.0001212, 0, 0, 0
0.0001225, 0, 1, 0
0.0001238, 0, 0, 0
0.0001251, 0, 1, 0
0.0001264, 0, 0, 0
0.0001278, 0, 1, 1
0.0001291, 0, 0, 1
0.0001304, 0, 1, 0
0.0001317, 0, 0, 0
0.0001330, 1, 1, 1
0.0001343, 1, 0, 1
0.0001356, 1, 1, 1
0.0001357, 1, 1, 0
0.0001370, 1, 0, 0
0.0001383, 1, 1, 0
0.0001396, 1, 0, 0
0.0001409, 1, 1, 0
0.0001422, 1, 0, 0
0.0001435, 1, 1, 0
0.0001448, 1, 0, 0
0.0001461, 1, 1, 0
0.0001475, 1, 0, 0
0.0001488, 1, 1, 0
0.0001501, 1, 0, 0
0.0001514, 1, 1, 0
0.0001527, 1, 0, 0
0.0001540, 1, 1, 0
0.0001553, 1, 0, 0
0.0001567, 1, 1, 0
0.0001580, 1, 0, 0
0.0001593, 1, 1, 0
0.0001606, 1, 0, 0
0.0001619, 1, 1, 0
0.0001632, 1, 0, 0
0.0001645, 1, 1, 0
0.0001659, 1, 0, 0
0.0001672, 1, 1, 0
0.0001685, 1, 0, 0
0.0001698, 1, 1, 0
0.0001711, 1, 0, 0
0.0001724, 1, 1, 1
0.0001737, 1, 0, 1
0.0001750, 1, 1, 1
0.0001751, 0, 1, 1
0.0001764, 0, 0, 1
0.0001777, 0, 1, 0
0.0001790, 0, 0, 0
0.0001803, 0, 1, 0
0.0001816, 0, 0, 0
0.0001829, 0, 1, 0
0.0001842, 0, 0, 0
0.0001856, 0, 1, 0
0.0001869, 0, 0, 0
0.0001882, 0, 1, 0
0.0001895, 0, 0, 0
0.0001908, 0, 1, 0
0.0001921, 0, 0, 0
0.0001934, 0, 1, 0
0.0001948, 0, 0, 0
0.0001961, 0, 1, 0
0.0001974, 0, 0, 0
0.0001987, 0, 1, 0
0.0002000, 0, 0, 0
0.0002013, 0, 1, 0
0.0002026, 0, 0, 0
0.0002040, 0, 1, 0
0.0002053, 0, 0, 0
