Time[s], 通道 0, 通道 1, 通道 2
0.0000000, 0, 1, 0
0.0000007, 0, 0, 0
0.0000020, 0, 1, 0
0.0000033, 0, 0, 0
0.0000046, 0, 1, 0
0.0000059, 0, 0, 0
0.0000072, 0, 1, 0
0.0000085, 0, 0, 0
0.0000099, 0, 1, 0
0.0000112, 0, 0, 0
0.0000125, 1, 1, 0
0.0000138, 1, 0, 0
0.0000151, 1, 1, 0
0.0000164, 1, 0, 0
0.0000177, 1, 1, 0
0.0000190, 1, 0, 0
0.0000204, 1, 1, 0
0.0000217, 1, 0, 0
0.0000230, 1, 1, 0
0.0000243, 1, 0, 0
0.0000256, 1, 1, 0
0.0000269, 1, 0, 0
0.0000282, 1, 1, 0
0.0000296, 1, 0, 0
0.0000309, 1, 1, 0
0.0000322, 1, 0, 0
0.0000335, 1, 1, 0
0.0000348, 1, 0, 0
0.0000361, 1, 1, 0
0.0000374, 1, 0, 0
0.0000388, 1, 1, 0
0.0000401, 1, 0, 0
0.0000414, 1, 1, 0
0.0000427, 1, 0, 0
0.0000440, 1, 1, 0
0.0000453, 1, 0, 0
0.0000466, 1, 1, 0
0.0000479, 1, 0, 0
0.0000493, 1, 1, 0
0.0000506, 1, 0, 0
0.0000519, 1, 1, 0
0.0000532, 1, 0, 0
0.0000545, 0, 1, 0
0.0000558, 0, 0, 0
0.0000571, 0, 1, 0
0.0000585, 0, 0, 0
0.0000598, 0, 1, 0
0.0000611, 0, 0, 0
0.0000624, 0, 1, 0
0.0000637, 0, 0, 0
0.0000650, 0, 1, 0
0.0000663, 0, 0, 0
0.0000677, 0, 1, 0
0.0000690, 0, 0, 0
0.0000703, 0, 1, 0
0.0000716, 0, 0, 0
0.0000729, 0, 1, 0
0.0000742, 0, 0, 0
0.0000755, 0, 1, 0
0.0000768, 0, 0, 0
0.0000782, 0, 1, 0
0.0000795, 0, 0, 0
0.0000808, 0, 1, 0
0.0000821, 0, 0, 0
0.0000834, 0, 1, 1
0.0000847, 0, 0, 1
0.0000860, 0, 1, 1
0.0000861, 0, 1, 0
0.0000874, 0, 0, 0
0.0000887, 0, 1, 0
0.0000900, 0, 0, 0
0.0000913, 0, 1, 0
0.0000926, 0, 0, 0
0.0000939, 0, 1, 1
0.0000952, 0, 0, 1
0.0000966, 1, 1, 0
0.0000979, 1, 0, 0
0.0000992, 1, 1, 0
0.0001005, 1, 0, 0
0.0001018, 1, 1, 0
0.0001031, 1, 0, 0
0.0001044, 1, 1, 0
0.0001045, 1, 1, 1
0.0001057, 1, 0, 1
0.0001071, 1, 1, 0
0.0001084, 1, 0, 0
0.0001097, 1, 1, 0
0.0001110, 1, 0, 0
0.0001123, 1, 1, 0
0.0001136, 1, 0, 0
0.0001149, 1, 1, 0
0.0001150, 1, 1, 1
0.0001163, 1, 0, 1
0.0001176, 1, 1, 1
0.0001189, 1, 0, 1
0.0001202, 1, 1, 0
0.0001215, 1, 0, 0
0.0001228, 1, 1, 0
0.0001241, 1, 0, 0
0.0001255, 1, 1, 0
0.0001268, 1, 0, 0
0.0001281, 1, 1, 0
0.0001294, 1, 0, 0
0.0001307, 1, 1, 0
0.0001320, 1, 0, 0
0.0001333, 1, 1, 0
0.0001346, 1, 0, 0
0.0001360, 1, 1, 0
0.0001373, 1, 0, 0
0.0001386, 0, 1, 0
0.0001399, 0, 0, 0
0.0001412, 0, 1, 0
0.0001425, 0, 0, 0
0.0001438, 0, 1, 0
0.0001452, 0, 0, 0
0.0001465, 0, 1, 1
0.0001478, 0, 0, 1
0.0001491, 0, 1, 0
0.0001504, 0, 0, 0
0.0001517, 0, 1, 0
0.0001530, 0, 0, 0
0.0001543, 0, 1, 0
0.0001557, 0, 0, 0
0.0001570, 0, 1, 0
0.0001583, 0, 0, 0
0.0001596, 0, 1, 0
0.0001609, 0, 0, 0
0.0001622, 0, 1, 0
0.0001635, 0, 0, 0
0.0001649, 0, 1, 0
0.0001662, 0, 0, 0
0.0001675, 0, 1, 0
0.0001688, 0, 0, 0
0.0001701, 0, 1, 0
0.0001714, 0, 0, 0
0.0001727, 0, 1, 0
0.0001741, 0, 0, 0
0.0001754, 0, 1, 1
0.0001767, 0, 0, 1
0.0001780, 0, 1, 0
0.0001793, 0, 0, 0
0.0001806, 1, 1, 1
0.0001819, 1, 0, 1
0.0001832, 1, 1, 1
0.0001833, 1, 1, 0
0.0001846, 1, 0, 0
0.0001859, 1, 1, 0
0.0001872, 1, 0, 0
0.0001885, 1, 1, 0
0.0001898, 1, 0, 0
0.0001911, 1, 1, 0
0.0001924, 1, 0, 0
0.0001938, 1, 1, 0
0.0001951, 1, 0, 0
0.0001964, 1, 1, 0
0.0001977, 1, 0, 0
0.0001990, 1, 1, 0
0.0002003, 1, 0, 0
0.0002016, 1, 1, 0
0.0002029, 1, 0, 0
0.0002043, 1, 1, 0
0.0002056, 1, 0, 0
0.0002069, 1, 1, 0
0.0002082, 1, 0, 0
0.0002095, 1, 1, 0
0.0002108, 1, 0, 0
0.0002121, 1, 1, 0
0.0002135, 1, 0, 0
0.0002148, 1, 1, 0
0.0002161, 1, 0, 0
0.0002174, 1, 1, 0
0.0002187, 1, 0, 0
