Time[s], 通道 0, 通道 1, 通道 2
0.0000000, 1, 1, 0
0.0000005, 1, 0, 0
0.0000025, 1, 1, 0
0.0000045, 1, 0, 0
0.0000065, 1, 1, 0
0.0000085, 1, 0, 0
0.0000105, 0, 1, 0
0.0000125, 0, 0, 0
0.0000145, 0, 1, 0
0.0000165, 0, 0, 0
0.0000185, 0, 1, 0
0.0000205, 0, 0, 0
0.0000225, 0, 1, 0
0.0000245, 0, 0, 0
0.0000265, 0, 1, 0
0.0000285, 0, 0, 0
0.0000305, 0, 1, 0
0.0000325, 0, 0, 0
0.0000345, 0, 1, 0
0.0000365, 0, 0, 0
0.0000385, 0, 1, 0
0.0000405, 0, 0, 0
0.0000425, 0, 1, 0
0.0000445, 0, 0, 0
0.0000465, 0, 1, 0
0.0000485, 0, 0, 0
0.0000505, 0, 1, 0
0.0000525, 0, 0, 0
0.0000545, 0, 1, 0
0.0000565, 0, 0, 0
0.0000585, 0, 1, 0
0.0000605, 0, 0, 0
0.0000625, 0, 1, 0
0.0000645, 0, 0, 0
0.0000665, 0, 1, 0
0.0000685, 0, 0, 0
0.0000705, 0, 1, 0
0.0000725, 0, 0, 0
0.0000745, 1, 1, 0
0.0000765, 1, 0, 0
0.0000785, 1, 1, 0
0.0000805, 1, 0, 0
0.0000825, 1, 1, 0
0.0000845, 1, 0, 0
0.0000865, 1, 1, 0
0.0000885, 1, 0, 0
0.0000905, 1, 1, 0
0.0000925, 1, 0, 0
0.0000945, 1, 1, 0
0.0000965, 1, 0, 0
0.0000985, 1, 1, 0
0.0001005, 1, 0, 0
0.0001025, 1, 1, 0
0.0001045, 1, 0, 0
0.0001065, 1, 1, 0
0.0001085, 1, 0, 0
0.0001105, 1, 1, 0
0.0001125, 1, 0, 0
0.0001145, 1, 1, 0
0.0001165, 1, 0, 0
0.0001185, 1, 1, 0
0.0001205, 1, 0, 0
0.0001225, 1, 1, 0
0.0001245, 1, 0, 0
0.0001265, 1, 1, 0
0.0001285, 1, 0, 0
0.0001305, 1, 1, 0
0.0001325, 1, 0, 0
0.0001345, 1, 1, 0
0.0001365, 1, 0, 0
0.0001385, 0, 1, 0
0.0001405, 0, 0, 0
0.0001425, 0, 1, 0
0.0001445, 0, 0, 0
0.0001465, 0, 1, 0
0.0001485, 0, 0, 0
0.0001505, 0, 1, 0
0.0001525, 0, 0, 0
0.0001545, 0, 1, 0
0.0001565, 0, 0, 0
0.0001585, 0, 1, 0
0.0001605, 0, 0, 0
0.0001625, 0, 1, 0
0.0001645, 0, 0, 0
0.0001665, 0, 1, 0
0.0001685, 0, 0, 0
0.0001705, 0, 1, 0
0.0001725, 0, 0, 0
0.0001745, 0, 1, 0
0.0001765, 0, 0, 0
0.0001785, 0, 1, 0
0.0001805, 0, 0, 0
0.0001825, 0, 1, 0
0.0001845, 0, 0, 0
0.0001865, 0, 1, 0
0.0001885, 0, 0, 0
0.0001905, 0, 1, 0
0.0001925, 0, 0, 0
0.0001945, 0, 1, 0
0.0001965, 0, 0, 0
0.0001985, 0, 1, 0
0.0002005, 0, 0, 0
0.0002025, 1, 1, 0
0.0002045, 1, 0, 0
0.0002065, 1, 1, 0
0.0002085, 1, 0, 0
0.0002105, 1, 1, 0
0.0002125, 1, 0, 0
0.0002145, 1, 1, 0
0.0002165, 1, 0, 0
0.0002185, 1, 1, 0
0.0002205, 1, 0, 0
0.0002225, 1, 1, 0
0.0002245, 1, 0, 0
0.0002265, 1, 1, 0
0.0002285, 1, 0, 0
0.0002305, 1, 1, 0
0.0002325, 1, 0, 0
0.0002345, 1, 1, 0
0.0002365, 1, 0, 0
0.0002385, 1, 1, 0
0.0002405, 1, 0, 0
0.0002425, 1, 1, 0
0.0002445, 1, 0, 0
0.0002465, 1, 1, 0
0.0002485, 1, 0, 0
0.0002505, 1, 1, 0
0.0002525, 1, 0, 0
0.0002545, 1, 1, 0
0.0002565, 1, 0, 0
0.0002585, 1, 1, 0
0.0002605, 1, 0, 0
0.0002625, 1, 1, 0
0.0002645, 1, 0, 0
0.0002665, 0, 1, 0
0.0002685, 0, 0, 0
0.0002705, 0, 1, 0
0.0002725, 0, 0, 0
0.0002745, 0, 1, 0
0.0002765, 0, 0, 0
0.0002785, 0, 1, 0
0.0002805, 0, 0, 0
0.0002825, 0, 1, 0
0.0002845, 0, 0, 0
0.0002865, 0, 1, 0
0.0002885, 0, 0, 0
0.0002905, 0, 1, 0
0.0002925, 0, 0, 0
0.0002945, 0, 1, 0
0.0002965, 0, 0, 0
0.0002985, 0, 1, 0
0.0003005, 0, 0, 0
0.0003025, 0, 1, 0
0.0003045, 0, 0, 0
0.0003065, 0, 1, 0
0.0003085, 0, 0, 0
0.0003105, 0, 1, 0
0.0003125, 0, 0, 0
0.0003145, 0, 1, 0
0.0003165, 0, 0, 0
0.0003185, 0, 1, 0
0.0003205, 0, 0, 0
0.0003225, 0, 1, 0
0.0003245, 0, 0, 0
0.0003265, 0, 1, 0
0.0003285, 0, 0, 0
0.0003305, 1, 1, 0
0.0003325, 1, 0, 0
0.0003345, 1, 1, 0
0.0003365, 1, 0, 0
0.0003385, 1, 1, 0
0.0003405, 1, 0, 0
0.0003425, 1, 1, 0
0.0003445, 1, 0, 0
0.0003465, 1, 1, 0
0.0003485, 1, 0, 0
0.0003505, 1, 1, 0
0.0003525, 1, 0, 0
0.0003545, 1, 1, 0
0.0003565, 1, 0, 0
0.0003585, 1, 1, 0
0.0003605, 1, 0, 0
0.0003625, 1, 1, 0
0.0003645, 1, 0, 0
0.0003665, 1, 1, 0
0.0003685, 1, 0, 0
0.0003705, 1, 1, 0
0.0003725, 1, 0, 0
0.0003745, 1, 1, 0
0.0003765, 1, 0, 0
0.0003785, 1, 1, 0
0.0003805, 1, 0, 0
0.0003825, 1, 1, 0
0.0003845, 1, 0, 0
0.0003865, 1, 1, 0
0.0003885, 1, 0, 0
0.0003905, 1, 1, 0
0.0003925, 1, 0, 0
0.0003945, 0, 1, 0
0.0003965, 0, 0, 0
0.0003985, 0, 1, 0
0.0004005, 0, 0, 0
